POS,class
"CD NNS PRP VBD IN NN `` PRP$ , VBG RB TO DT . WDT VBN JJ VBP CC MD VB VBZ WP NNP EX RBR : RP WRB JJS",gpt
"NN : WRB TO VB PRP$ `` JJ VBP , CC PRP RB VBG DT IN . VBD VBZ MD UH RP WP SYM CD JJS VBN NNS EX JJR PDT WDT",gpt
"JJ CD NN NNS CC VBN IN DT PRP$ `` VBP , PRP RB VB VBD TO WDT VBZ VBG POS . RP : WP WRB MD UH JJS JJR ''",gpt
"JJ NNS TO VB IN PRP$ , CC PRP VBP RB DT NN `` VBD . MD WDT CD VBN VBG : RP JJS JJR WP UH POS RBR VBZ WRB",gpt
"JJ , NNS IN NN `` PRP VBD RB WP TO VB CC . DT RP VBP PRP$ VBZ EX : CD VBG RBR WRB MD NNP JJS VBN WDT JJR",gpt
"NNS NN TO VB NNP POS IN `` JJ MD DT , RB . VBD PRP PRP$ CC VBG : CD WRB WP VBP VBN VBZ EX JJR RP WDT",gpt
"VBP JJ IN DT NN TO NNS . `` PRP VBD PRP$ RB , CC VBZ VBG VB WDT MD WP RP VBN : CD WRB JJR EX RBS NNP '' UH",gpt
"NN NNS VBP TO VB IN CD `` JJ VBN VBG DT , CC PRP RB : VBZ . MD EX VBD WRB RBR WP PRP$ RP JJR WDT FW",gpt
"JJ NNS NN VBZ TO VB , CC VBP RB IN DT `` PRP VBD VBG PRP$ WP . WRB MD VBN : JJR CD ( ) RP POS WDT PDT",gpt
"NN VBG : NNS VBP IN `` DT MD VB PRP TO VBN , JJ . RB WRB VBZ CC EX PRP$ VBD WP SYM RP WDT RBR POS UH",gpt
"NN : JJ MD VB IN `` VBP , CC DT VBZ RB PRP . TO WP VBG NNS PRP$ VBD RP CD WRB VBN PDT EX RBR UH",gpt
"JJS NN VBD VBN IN `` PRP VBP DT , . JJ RB CC WP CD WRB VB VBZ MD EX VBG : JJR NNS TO UH PRP$ RP POS NNP WDT RBR",gpt
"NNS VBP JJ NN '' IN VBG POS . DT , VBD PRP$ WRB CC TO VB PRP MD `` RB WP VBN WDT : VBZ CD RP EX JJR NNP JJS",gpt
"NN NNS : VBP IN . DT JJ PRP$ VBZ VBN CC , RB TO VB PRP WDT VBD WRB EX CD WP `` VBG RP POS MD '' RBR ( )",gpt
"NN NNS : WP VBP PRP CC WRB VB . DT JJ , IN VBD TO PRP$ WDT VBN RP CD POS EX RB VBG MD ( ) JJR PDT VBZ ``",gpt
"NN : WP MD VB . PRP VBD RB JJ DT IN TO , CC WRB PRP$ NNS VBN PDT `` VBP CD VBG RP WDT RBS POS VBZ JJS RBR",gpt
"NN : WP VBP PRP$ NNS . `` JJ RB WRB TO VB PRP VBZ IN DT WDT VBN , CC MD VBG VBD EX RP NNP CD",gpt
"NN : RB VBZ IN DT , WP . `` VBP VB PRP JJ CC PRP$ VBD VBN WRB JJS CD NNS VBG TO RP EX WDT MD FW JJR UH",gpt
"NN : WRB JJ NNS VBP DT PRP IN . `` POS VBD RB VBN PRP$ , CC VB TO CD WDT MD FW RBR EX VBZ WP VBG JJS RP PDT ''",gpt
"DT NN CC , PRP VBD RB JJ `` NNS VBP VB WP TO VBZ IN : PRP$ VBG MD RP . UH WRB VBN CD WDT RBR",gpt
"NN VBZ JJR '' IN NNS CC , DT MD VB `` PRP VBP RB TO RP PRP$ WP VBG . WRB JJ EX VBN : PDT VBD WDT JJS POS",gpt
"JJ NN : IN NNS . VB VBP RB WP TO , CC DT PRP VBZ PRP$ WDT `` MD CD RP VBN WRB VBD VBG JJS",gpt
"JJ NN VBN IN '' CC DT `` VBD RB WP TO VB , RBR PRP . VBP CD PRP$ RP WRB WDT VBZ VBG EX NNS UH : MD POS ( )",gpt
"NN NNS VBG JJ IN DT `` VBP , CC PRP TO VB RB MD PRP$ VBD RP VBN . NNP WRB CD WDT VBZ WP EX : POS PDT JJS",gpt
"JJ NN : PRP IN NNS . DT VBD VBN TO VB CC VBG , MD RB WP PRP$ WRB POS RP VBP RBR CD PDT VBZ `` JJR JJS UH NNP",gpt
"NN : POS VBN IN '' . DT VBD CD , CC PRP TO VB NNS WP JJ VBZ RB VBG PRP$ `` VBP RP WDT MD WRB RBR",gpt
"WRB DT NNS NN VBD VBN IN . `` PRP VBZ RB , CC VBP VBG JJ PRP$ MD VB EX TO RP RBR WP PDT : POS UH CD WDT",gpt
"NN : VBZ TO NNS IN JJ , CC DT VBP VBG VBN PRP$ `` RB WP PRP EX VB VBD . JJR WRB MD CD WDT RP",gpt
"NN : IN POS . DT JJ NNS VBD CC VBG PRP$ TO VB VBN , PRP RB MD RP WRB VBZ `` WP VBP CD UH JJR NNP ''",gpt
"NN : JJ NNS IN `` DT VBD , PRP$ RB . PRP CC CD VBG VBP VBN WP VBZ TO VB EX RP MD JJR WRB UH WP$ '' POS WDT",gpt
"NN : CD NNS WRB DT MD RB VB IN `` JJ VBP , CC PRP VBG TO PRP$ . VBN EX VBZ VBD WP SYM RP RBR UH WDT POS",gpt
"NN : WRB TO VB PRP$ RB . DT JJ , VBD IN PRP VBN RP CC MD WP `` VBP EX VBZ RBR VBG CD UH NNS PDT",gpt
"NN : JJ VBG VBZ . DT , VBD IN PRP$ WRB WDT `` POS NNS CC PRP VBP VBN RB VB TO CD MD EX WP RP UH PDT",gpt
"NN VBZ IN VBG DT PRP JJ `` VBD RB , CC WP RP SYM : WRB MD VB TO . VBP NNS EX VBN PRP$ WDT UH PDT POS CD",gpt
"WRB TO VB DT JJ NN `` VBP RB , CC IN PRP : MD RP . VBZ PRP$ VBG NNS VBD VBN EX WDT NNP CD WP JJR UH POS PDT",gpt
"NN : VBZ JJ VBN IN `` VBP , CC PRP RB DT WP VBG . VBD PRP$ NNS TO VB MD EX WRB PDT JJR CD RP SYM",gpt
"NN : NNS VBP IN JJ `` RB VB WRB TO PRP , CC DT MD VBZ VBD VBG PRP$ WP . VBN RP WDT RBR EX CD JJR ''",gpt
"RB NN VBZ VBG TO VB PRP IN POS JJ RP `` WP DT . VBD , NNS PRP$ VBN CC WRB MD : EX VBP UH RBR CD WDT PDT",gpt
"NN IN DT : CC POS TO PRP$ , PRP VBD RB VBN VB `` JJ VBP VBZ WRB RP VBG JJS EX NNS MD . WP JJR CD WDT",gpt
"NN : '' DT JJ PRP$ `` VBD CC , RB PRP MD VB IN VBZ WP . VBP VBG TO WRB RP NNS RBR CD VBN JJS JJR UH FW",gpt
"NN IN DT JJ : VBG NNS VBP TO VB `` PRP VBD CC , PRP$ . RB VBN RBR WP VBZ POS CD MD EX WRB WDT RP UH JJR",gpt
"NN : CD IN POS NNS VBN RP DT `` CC WP VBZ . PRP VBD , VBG PRP$ VB VBP JJ WDT RB EX TO WRB MD PDT FW",gpt
"VBP JJ IN DT NN TO NNS . `` VBD RB PRP CC VB , JJS VBG VBN EX PRP$ : MD UH WP POS WRB VBZ JJR RP CD ''",gpt
"WRB JJ NNS IN NN PRP VBP VBN `` RB TO VB , CC VBZ DT EX . WP WDT VBD RP PRP$ VBG CD MD : POS JJS PDT ( )",gpt
"NN POS JJ : TO VB IN VBN . DT VBD , WDT CD WP PRP MD RB WRB NNS CC PRP$ VBP EX VBZ `` VBG RP UH JJR",gpt
"NN : JJ MD VB , CC DT NNS TO JJR `` VBP VBG RP IN PRP VBD . RB UH PRP$ WRB VBZ CD VBN POS '' WP PDT EX RBR FW",gpt
"NN CC NNS : IN PRP TO RB . DT JJ , VBD VBG PRP$ POS `` VBP WDT VBN WRB CD VBZ UH WP RP MD VB EX JJS NNP",gpt
"JJ NN : DT PRP VBD PRP$ CC NNS TO IN `` VBP RB , VBZ MD VB VBN VBG PDT . WRB RP UH WP POS WDT RBR NNP CD EX",gpt
"VBZ VBG VB JJ POS RB VBP PRP NN . `` , CC DT IN PRP$ VBN TO RP CD JJS NNS VBD WRB JJR MD WP WDT EX : NNP UH",gpt
"POS NN IN DT RB VBG TO VB JJ . VBD VBN CC PRP , MD PRP$ WP : JJR RP WRB VBP EX NNS VBZ CD ( ) `` WDT",gpt
"NNS IN DT JJ NN `` PRP VBD PRP$ , CC VBP RB WP VBG TO VB RP VBZ . WRB EX : CD MD VBN JJR JJS RBR WDT",gpt
"JJ NN POS NNS IN . PRP VBZ RB DT , CC VBP PRP$ EX `` WP VB CD : WRB MD VBD RBR VBN VBG TO RP WDT UH",gpt
"JJ NN NNS IN CD `` VBP RB , CC DT VBZ PRP VBD VB PRP$ RP VBN VBG WP TO . JJR MD EX RBR WRB : WDT",gpt
"DT NN NNS VBG IN POS `` JJ VBP RB , CC PRP$ VBD CD PRP . VBZ WRB TO VB : WP VBN PDT JJS EX JJR MD RP WDT UH",gpt
"NN : WRB TO VB IN , DT JJ `` VBP VBG RB CC MD VBN NNS . PRP VBZ EX VBD RP PRP$ WP RBR CD PDT JJR",gpt
"WRB VBZ DT NN IN VBG RB . `` PRP JJ VBP VB , CC TO RP VBD MD PRP$ NNS VBN UH : CD EX WP JJR WDT JJS NNP",gpt
"DT NN IN POS NNS RB VBP `` JJ VB , PRP VBZ WDT VBD PRP$ CC : WRB . VBN TO WP CD VBG MD UH PDT RP JJR RBR",gpt
"WRB JJ IN PRP$ NN VBZ . `` PRP VBD RB VB , NNS CC DT TO MD RP WP VBP VBN PDT UH : NNP POS EX JJR CD JJS RBR VBG WDT",gpt
"WRB VB PRP DT NN . `` VBD NNS VBP RB VBN TO , CC JJ IN PRP$ MD WDT VBG RP EX WP : VBZ CD JJR PDT NNP",gpt
"DT NN WRB PRP VBP POS RB VBZ `` JJ VBD IN , PRP$ NNS CC VBG TO VB . VBN PDT WP : MD RP WDT RBR CD",gpt
"DT NN VBZ PRP JJS IN VBP `` VBD CC , JJ MD VB TO CD WRB RB PRP$ WP VBG NNS VBN RBR . RP JJR WDT NNP SYM :",gpt
"VB WRB DT NN VBZ VBG TO CC IN JJ `` , . WP PRP VBP RB PRP$ NNS VBD VBN EX JJR MD POS UH : CD '' RP",gpt
"JJS NNS IN NN : POS JJ MD VB DT RBS , CC PRP VBZ RB . WDT VBN TO VBP PRP$ RP VBG",gpt2
"NN VBZ TO VB DT IN PRP$ RBS JJ . ( WP ) VBD VBN JJS , CD POS NNS CC VBG PRP EX RB `` '' VBP JJR WDT WRB MD",gpt2
"NN VBZ NNS IN POS PRP DT JJ CC , VBD . ( WP ) TO VBG RB MD VB VBN PRP$ VBP CD : WDT NNP SYM RBR",gpt2
"NN : JJ NNS VBN CC VBG DT MD RB VB VBZ TO IN PRP$ , . WDT JJS POS PRP WRB VBP VBD CD ( ) JJR ''",gpt2
"NN POS MD VB IN DT JJ NNS , VBG TO VBN CC . VBD CD `` VBZ '' RB PRP$ VBP",gpt2
"NN CC POS IN DT , NNS VBZ PRP . RB JJ VBN VBP : WP VBD VBG EX WRB TO VB MD JJR WDT JJS RP NNP SYM CD PRP$",gpt2
"NN VBZ RB VBG DT JJ '' TO IN FW . VBN NNS , CD PRP CC ( ) VBD WP VB",gpt2
"DT NN IN , JJ CC VBZ VBN WDT RB CD NNS MD . VBD TO JJS VB POS NNP WP RP ( ) PRP `` PRP$ '' VBG JJR EX VBP :",gpt2
"JJ NNS VBP RB IN DT NN VBD CD TO , CC . POS JJS VBG PRP$ WRB MD VB JJR WDT VBN VBZ `` PRP '' RBR",gpt2
"JJ NN NNS VBP WDT PRP VBD TO VB DT IN , POS VBZ VBN . CC VBG PRP$ RB CD NNP ( ) : WP `` ''",gpt2
"NN CC VBP VBG DT TO VB PRP$ . IN , VBZ RP POS JJ NNS PRP RB WP WDT VBN `` RBR VBD '' MD JJR CD",gpt2
WRB DT JJ NN VBD NNS IN CD : VBZ VBG RB '' CC PRP$,gpt2
DT CD JJS JJ NNS IN NN POS,gpt2
"NN MD VB VBG JJR IN DT CD , CC PRP VBZ RB RBR JJ TO . POS VBD",gpt2
"NN JJ NNS : WRB VBD DT IN VBP RB VBN CD , WDT RP . JJR TO VB POS VBZ CC ( ) PRP MD `` WP '' VBG PRP$ FW",gpt2
"NN IN VBN NNS CC VB VBD TO DT , VBG JJ . VBP POS PRP$ `` CD '' PRP RB VBZ RP WDT JJS NNP ( : ) MD",gpt2
"JJ NNS NN TO VB POS DT IN VBZ VBN . CC PRP PRP$ , WDT MD '' CD RB VBG VBD `` WP VBP RP",gpt2
"IN JJ NN TO : WRB CC VBD POS . `` DT CD , RB PRP$ NNS JJS PRP RP WDT VBN NNP '' VBG VBZ",gpt2
"CD JJ NNS IN NN : TO , RB VBP DT RBS . VBD VBZ CC PRP JJS VBG VBN VB",gpt2
"NN : WDT NNS VBP . DT VBZ IN EX JJ TO , CC PRP VBN `` '' WP VBG RB JJR CD JJS WRB MD VB VBD",gpt2
"NN JJS VBD IN NNS PRP VBP JJ DT VB , WP$ VBZ RB VBN POS WRB . WDT CD TO EX VBG `` '' MD : CC",gpt2
"IN NN VBG RP MD VB CD RB . UH , JJ VBZ PRP$ TO DT VBN WDT NNS CC POS JJS PRP VBD $ WP VBP WRB EX",gpt2
"IN NN NNS , RB NNP JJ DT MD VB VBN . `` PRP VBP CC '' VBD TO CD VBZ POS EX WP VBG : PRP$ RBS WDT",gpt2
"NN TO VB CD VBZ VBG , '' DT IN `` WP VBD NNS . JJ VBN WDT CC PRP RB PRP$ VBP WRB MD",gpt2
"DT JJ NN IN PRP VBP NNS VBZ VBN , CC JJS . RB VBG : CD ( ) POS VBD WP TO VB `` '' PRP$ MD",gpt2
"WRB DT NN IN MD VB RB JJ NNS . , VBP VBN CC RBS VBD WDT CD RP VBG PRP TO WP JJS VBZ PRP$ EX RBR",gpt2
"NN IN DT JJ NNS POS VBZ VBN WDT JJR CD CC . , VBD PRP `` RB '' PDT VBP VBG TO VB ( WP ) WRB JJS EX MD",gpt2
"WP DT PRP MD VB IN NN POS VBZ JJ , CC VBN TO CD RBS NNS . WDT RB PRP$ RP ( ) VBP VBD VBG",gpt2
"DT NN WP VBD PRP IN NNS VBZ VBN , JJ . `` '' CC VBP RB WDT CD MD VB VBG TO : ( ) PRP$",gpt2
"JJ NN : WP PRP MD VB IN NNS VBZ TO VBP RB VBG VBN DT , . CC PRP$ RBS WRB VBD `` '' UH PDT",gpt2
"JJS NNS IN NN DT VBZ VBN JJ TO VB POS , CC PRP$ RB VBG . PRP MD `` VBP WDT '' VBD WRB EX WP",gpt2
"JJS NNS IN NN : JJ CD TO , MD VB '' VBZ DT RB VBP NNP",gpt2
"JJS NNS IN NN `` PRP VBZ DT VBG JJ TO VB RB . '' : , POS WRB PRP$ CC VBP RP WDT MD VBD",gpt2
"JJ NN CD : VBD , DT WP IN VBZ RB TO VB RP . PRP CC NNS VBN POS MD VBP VBG JJR EX `` ''",gpt2
"DT NNS WDT VBD NN IN CC VBP RB JJ . PRP RBR TO VB , CD `` '' VBZ VBN MD POS VBG : WP NNP RP",gpt2
"JJ NN VBG TO CC DT . JJS IN VBZ PRP RB NNS PRP$ VBN `` VB VBP RP '' ,",gpt2
"JJ NNS CC VB NN IN ( ) : PRP$ VBP VBN TO DT , VBD . CD VBG WRB PRP WP `` '' RB VBZ WDT MD FW EX JJR JJS",gpt2
"POS '' NNS VBP NN RB TO IN DT JJ . VBZ VBN VB MD CD , `` PRP VBD PRP$ CC WP RP WRB ( ) VBG $",gpt2
"NN VBZ RB NNS VBP JJ POS '' CD NNP , DT CC FW IN",gpt2
"'' DT JJ NN VBN IN : POS VBD . CC TO VB CD RB VBZ PRP VBG , MD NNS PRP$ NNP",gpt2
"NN '' JJ CC NNS IN DT NNP MD VB , RB CD PRP$ VBG VBD TO . RBS POS VBP EX WP VBN PRP VBZ",gpt2
"JJ NN VBZ RB VB IN '' VBN : CD , VBD DT NNS VBP VBG RP CC WRB PRP . POS WP PRP$ TO MD RBR",gpt2
"JJ NNS TO VB DT CD IN VBP NN CC PRP$ , VBN . WP VBD PRP VBG POS MD",gpt2
"NNS JJ NN IN VBG PRP$ '' MD VB TO DT CC PRP . VBZ VBN , VBD : VBP JJS RB RP POS CD WP JJR",gpt2
"NN '' NNS CD IN DT , WDT VBZ RB PRP$ JJ VBN . VBP POS VBD PRP TO VB CC VBG MD WRB RP : ``",gpt2
"JJ NN NNS IN PRP VBZ VBN '' `` VBD RB VB VBG TO DT . WP CD , WDT VBP CC PRP$ POS JJS PDT : MD NNP RBR EX",gpt2
"JJ NNS CC NN : WP PRP VBP IN DT CD VBZ RBS , TO . PRP$ VBG RB FW VB JJR POS WRB VBD VBN $ WDT",gpt2
"VB JJ NNS NN TO POS DT VBD PRP VBN CC '' IN . : VBP RB MD PDT VBZ PRP$ RP WP , CD # VBG WRB JJS",gpt2
"NN VBD JJ NNS , VBZ PRP '' IN DT RB `` TO VB WDT MD VBN . VBP CD PRP$ CC VBG WRB POS JJR RBS EX WP ( ) : $ NNP",gpt2
"JJ NNS CC VBP NN POS VBZ RP IN . , DT VBD `` RB '' VBG WP VBN TO WRB RBS PRP MD VB PRP$ EX CD",gpt2
"NNS NN CC NNP IN VBP RB VB '' `` PRP VBZ JJ TO . DT , VBD MD WP$ VBN WP RBS POS : CD RP VBG WRB JJR WDT EX",gpt2
"RB NN '' CC RBR NNS VBP IN . ( JJ ) VBD : CD VBZ DT $ , MD VB RP TO `` PRP WP VBN RBS PRP$ WDT VBG POS JJS WRB",gpt2
"CD NN '' VBZ DT JJ IN TO VB NNS . VBN , WRB RP ( ) CC WP VBP VBG WDT PRP RB NNP POS $ RBR PRP$ RBS MD",gpt2
"NN POS RB CC NNS VBP TO VB JJ DT IN VBZ VBG `` RBR . '' PRP$ , VBD PRP MD VBN JJR CD RBS WP $ # : ( ) SYM FW",gpt2
"NN VBZ IN JJ VB RP '' CD VBD MD VBN POS RB DT PRP `` . VBP TO WDT CC NNS , : VBG PRP$ JJS JJR WP",gpt2
"NN VBZ JJ , DT IN NNS JJS VBD VBN CC . `` PRP RB '' WP MD VB VBG TO PRP$ VBP POS NNP CD WRB EX",gpt2
"NN VBD JJ NNS IN PRP RB VB . VBP VBG TO DT VBZ CC VBN : WRB , POS PRP$",gpt2
NN NNS TO VB IN PRP VBP DT PRP$ . JJS JJ VBZ CC POS MD JJR,gpt2
"WP VBZ VBG IN NN , CC CD . MD VB DT PRP$ JJ NNS WDT JJS : EX VBP TO ( )",gpt2
"NN NNS TO VB PRP PRP$ JJ RB . : IN DT VBZ POS , WRB VBD MD EX VBP VBN CC RBS CD VBG JJS PDT RP WDT ( )",gpt2
"CD NN '' NNS DT JJ IN POS , VBZ WDT MD VB PRP$ . CC VBN VBG VBP NNP : JJS",gpt2
"NN NNS VBP IN , '' DT WP$ VBZ PRP$ . JJ WDT CC RB VB VBD VBN VBG PRP WP ( ) POS CD TO NNP :",gpt2
"POS VBZ NN JJ TO VB PRP . DT IN NNS VBP VBN VBG WRB PRP$ , CC JJR RB WP NNP ( WDT FW '' ) : RP JJS EX CD MD",gpt2
"RB NN '' VBZ DT JJ IN NNS TO CC . VB VBD : VBG , PRP MD WP VBP POS VBN `` WDT NNP PRP$",gpt2
"DT JJS NN TO VB RP $ CD IN PRP VBP RB VBN , VBG VBZ . CC JJ NNS MD PRP$ JJR WDT WRB :",gpt2
"WRB TO VB JJ NN VBZ VBN IN DT , CC PRP RB . VBD CD NNS MD EX VBP RP WDT VBG WP : `` '' JJS",gpt2
"IN NN : DT JJ VBZ VBN TO VB . RBR NNS VBP PRP CC VBD PRP$ , CD VBG RB POS `` '' WRB WDT PDT",gpt2
"RB NN POS IN CD DT JJ . JJR , VB NNS : VBP VBN VBG `` '' WDT VBD VBZ CC PRP TO PRP$ WP$ WRB MD WP UH",gpt2
"VB DT NNS IN JJ NN CD . VBD JJS , VBG TO",gpt2
"IN NN POS JJ NNS VBP CD VBZ VBG TO VB DT , . MD VBN : WDT VBD CC RB PRP PRP$ `` '' WP JJR",gpt2
"NN IN POS JJ DT , VB CD `` EX VBZ MD VBN NNS WDT VBP RB TO PRP '' VBD CC . RBS VBG PRP$ JJR RP WRB ( : ) RBR PDT JJS $",gpt2
"NN IN DT , CC JJ WDT MD VB VBD PRP `` '' . RB VBN RP NNS TO VBZ",gpt2
"NN IN DT NNS CC VB TO WP MD VBG PRP . JJ , CD VBP VBN VBZ `` '' WDT VBD : JJR RBR",gpt2
"VBZ VBG DT NN TO POS JJS NNS . IN , CC PRP VBP RB VBN PRP$ JJ WRB WDT MD VB CD JJR RP VBD `` ''",gpt2
"CD IN NN POS JJS NNS VBZ VBN DT $ . JJ , VBD `` RB CC '' TO VB VBG PRP VBP MD JJR PRP$",gpt2
"NN POS JJ NNS RP IN VBP DT CC VBZ RB VBD , VBG PRP VB TO . `` VBN CD '' WDT MD $ JJS RBR ( )",gpt2
"NN VBZ RB VBG PRP$ JJ IN , CC PRP DT TO VB WRB MD WDT VBN . NNS `` VBP '' VBD JJS POS CD JJR",gpt2
"WRB NN POS JJ VBZ VBG TO VB NNS VBP DT IN RBS . , CD : JJS CC",gpt2
"NN VBZ DT RB JJ IN : CC . CD NNS VBP VBD VBN RBS , VBG TO PRP `` EX WP '' PRP$ VB WRB MD",gpt2
"NN : VBD CD JJ NNS IN DT . RB VBZ ( VBP JJS ) JJR , RBS CC `` VB '' VBN PRP MD WP VBG WDT POS RP TO PRP$ EX",gpt2
"NN NNS CD IN JJ ( ) DT VBD VBN RB VBG , TO JJS WP . CC",gpt2
"NN NNS IN JJ TO VB CC VBP POS VBD PRP VBN DT VBG . `` MD '' CD , VBZ RP JJS PRP$ RB JJR ( ) WRB",gpt2
"NN VBZ IN PRP VBP , DT JJ POS VBD `` VBN CC NNS ( ) TO VB VBG : . '' JJS MD RB PRP$ CD WP",gpt2
"POS VBD NNS IN DT NN : VBP JJS JJ ( ) , RB VBG TO VB . CD WP PRP$ CC PRP VBN WRB `` '' EX JJR RBR VBZ MD WDT",gpt2
"JJ NN POS IN DT VBZ VBG . $ CD NNS VBD PRP MD RB VB , JJS WDT VBN RBS CC RBR TO PRP$ RP `` VBP '' JJR",gpt2
"CD JJ , IN JJS VBN NN NNS POS DT VBD RP WRB TO VB WP PRP . VBP VBG `` RB '' CC WDT PRP$ VBZ MD",gpt2
"NNS VBN IN NN CC JJ DT CD VBD TO . VBZ JJS , JJR WDT `` '' VBP WP PRP MD RB VB VBG POS NNP PRP$ ( : )",gpt2
"DT IN NN POS JJ FW '' PRP VBD TO VB VBG NNP VBN RP , NNS RBR PRP$ . `` WDT VBZ CC MD JJS ( ) $ CD",gpt2
"JJ NN : PRP$ POS IN VBZ VBG VBN DT NNS . PRP WDT TO VB CC RB CD , WRB",gpt2
"WRB NN POS VBZ DT IN WP VBN , '' NNS VBD . `` PRP RB TO CC VB JJ MD VBG VBP PRP$",gpt2
"NN : DT IN NNS , VBZ VBN VBP CD TO JJR CC JJ . `` POS RB VBG VBD '' WDT PRP",gpt2
"DT NN MD VB JJ NNS IN . VBZ JJS VBG TO PRP '' , VBD `` RB VBN : VBP CC WDT PDT WP WRB POS RP CD PRP$",gpt2
"NN VBZ JJ NNS IN PRP$ DT VBN , VBG TO . VBD CC `` '' RB VBP WDT CD VB POS PRP JJS RP ( ) FW :",gpt2
"NN CC IN JJ DT NNS : VBP POS VBZ PRP VBN CD PRP$ VBD VBG MD VB TO . , RB",gpt2
"CD IN DT NN POS NNS JJS VBP . , VBZ VBG VBN CC JJ RB `` '' RBS VBD WDT JJR WP MD VB PRP$ TO WRB EX PRP",gpt2
"DT NN MD VB VBG IN NNS , WRB JJ VBP RB TO VBZ VBN . ( WP ) VBD PRP CC JJS CD JJR `` ''",gpt2
"VB NNS MD RB VBN IN DT NN CC JJ . `` PRP VBP TO VBZ , '' VBD POS EX WDT WRB VBG RP JJR : CD PRP$ WP",gpt2
"JJ NN WP VBD IN CC NNS PRP$ VBP DT PRP . VBN VBZ POS , WDT TO RB VBG `` '' MD VB JJS CD JJR WRB",gpt2
"MD VB NN VBD DT . CC JJ RB IN , JJR CD NNS VBN VBZ TO VBG WP `` '' PRP RBR PRP$ JJS ( ) WRB RBS",gpt2
"JJ NNS CC VB NN VBN IN VBP DT JJS TO . , WP VBD VBG CD RB VBZ WDT RP ( ) PRP PDT",gpt2
"NN POS '' : JJ NNS TO VB IN CC CD VBD VBN DT WDT . , WP RB `` VBG JJS PRP JJR VBP VBZ",gpt2
"DT NN VBZ JJ IN NNS , . WDT TO VB MD POS RBS JJS VBD CD VBN VBG `` VBP PRP$ PRP CC '' RB WRB WP",gpt2
"JJ NN NNS TO VB VBD DT VBZ VBG . VBN IN CC `` PRP VBP RP WP , '' NNP MD PRP$ : RB WDT POS WRB",gpt2
"DT NN VBD POS NNS IN JJS CD RBR JJ , VB VBP TO VBZ VBN PRP . WDT `` '' RB JJR CC MD : NNP ( ) VBG PRP$",gpt2
"DT JJ NN VBD TO VB IN . VBN CD PRP RB , VBG POS NNS WRB '' VBP CC NNP MD $ `` WP",gpt2
"IN JJR CD NNS , VBP POS JJ VBZ RB CC DT NN VBG TO . JJS VB VBD VBN `` '' WDT",gpt2
"NN CD DT VBZ RB JJ . VBN IN WRB NNS POS TO CC , VBP WP WDT PRP MD VB RP",gpt2
"NN CD IN PRP$ . RB TO VB RP JJ NNS CC VBG VBD PRP DT SYM : VBN VBZ , EX VBP WDT MD RBR `` '' WP POS JJR",gpt2
"DT JJ NN IN NNS RB VBD . , WP$ VBN CD CC PRP$ POS PRP MD VB TO `` '' VBZ VBG RP VBP JJR JJS EX WP WDT",gpt2
"NNS VBP IN NN CC VB DT POS JJ VBZ VBN TO , VBG CD JJS . VBD RB WDT `` RBS '' : PRP JJR MD RBR PRP$",gpt2
"VBN NNS CC VBG NN : DT POS JJ VBD RBR VBZ RB IN PRP , WRB CD WDT VBP . TO JJS WP MD VB `` '' PRP$ $",gpt2
"VBN JJ NN NNS VBZ RP IN DT VBG CD POS , TO VB WP VBD CC MD RB `` PRP WDT '' . VBP",gpt2
"DT NN VBZ RP VBG IN JJ NNS VBP EX RBR PRP VBD , '' . CD RB CC PRP$ RBS VBN WDT $ MD VB TO ( ) JJR",gpt2
"DT JJ NN VBZ IN POS VBD VBN NNS RB `` '' . : VBG VBP , CD CC ( ) PRP TO VB PRP$ NNP WRB JJR MD WDT",gpt2
"WRB JJ VBD IN NN `` WP PRP VBP VBG VBZ DT RB , '' POS . WDT VBN NNS CC PRP$ TO RP VB CD RBR :",gpt2
"NN POS JJ NNS MD VB PRP RB . VBD TO IN PRP$ DT , WRB VBZ VBN CC WP VBG VBP JJS WDT CD RP",gpt2
"DT NNS VBN TO VB IN NN VBP VBG WRB . , PRP RB RBR JJ WDT CC VBD CD POS WP VBZ JJR $ :",gpt2
"NN TO NNS : MD VB IN PRP$ . `` DT '' VBZ RB JJ CC , WDT VBN PRP VBP VBG",gpt2
"JJ NNS VBP VBG NN IN `` PRP DT , WDT CC '' . VBD RB TO VB CD VBN EX VBZ MD JJS PRP$ POS",gpt2
"JJ NN : POS MD VB TO IN PRP DT RB CC '' VBD . VBZ VBN CD NNS VBP VBG PRP$ , RP",gpt2
"NN : CC CD NNS VBN IN RB VBD DT VBP JJ WDT PRP$ . POS VBZ TO VB VBG , PRP WRB MD NNP `` ''",gpt2
"NN VBZ PRP VBD VBN TO VB JJ IN POS DT NNS PDT RP PRP$ CC VBP . MD RB : '' , VBG EX",gpt2
"NN NNS : JJ CD IN VBN VBP VBG DT TO VB . POS VBZ VBD PRP PDT RB `` '' WP CC PRP$ , JJR NNP WDT MD",gpt2
"NN VBZ RB IN , JJ NNS CD NNP DT CC . VBN ( ) TO VB VBG PRP$ VBD JJR WRB PRP MD VBP RBR WDT",gpt2
"NNS VBP VBG RP PRP$ NN CC JJ TO VB DT IN PRP . '' , VBN VBD MD RB `` VBZ JJR CD WP WRB",gpt2
